Trial,NumCycles_Left,NumCycles_Right
subj1_trial1,0,0
subj1_trial2,0,0
subj1_trial3,0,0
subj1_trial4,0,0
subj1_trial5,0,0
subj1_trial6,0,0
subj1_trial7,0,0
subj1_trial8,0,0
subj1_trial9,0,0
subj1_trial10,0,0
subj1_trial11,0,0
subj1_trial12,0,0
subj1_trial13,0,0
subj1_trial14,0,0
subj1_trial15,0,0
subj1_trial16,0,0
subj1_trial17,0,0
subj1_trial18,0,0
subj1_trial19,0,0
subj1_trial20,0,0
subj1_trial21,0,0
subj1_trial22,0,0
subj1_trial23,0,0
subj1_trial24,0,0
subj1_trial25,0,0
subj1_trial26,0,0
subj1_trial27,0,0
subj1_trial28,0,0
subj1_trial29,0,0
subj1_trial30,0,0
subj1_trial31,0,0
subj1_trial32,0,0
subj1_trial33,0,0
subj2_trial1,0,0
subj2_trial2,0,0
subj2_trial3,0,0
subj2_trial4,0,0
subj2_trial5,0,0
subj2_trial6,0,0
subj2_trial7,0,0
subj2_trial8,0,0
subj2_trial9,0,0
subj2_trial10,0,0
subj2_trial11,0,0
subj2_trial12,0,0
subj2_trial13,0,0
subj2_trial14,0,0
subj2_trial15,0,0
subj2_trial16,0,0
subj2_trial17,0,0
subj2_trial18,0,0
subj2_trial19,0,0
subj2_trial20,0,0
subj2_trial21,0,0
subj2_trial22,0,0
subj2_trial23,0,0
subj2_trial24,0,0
subj2_trial25,0,0
subj2_trial26,0,0
subj2_trial27,0,0
subj2_trial28,0,0
subj2_trial29,0,0
subj2_trial30,0,0
subj2_trial31,0,0
subj2_trial32,0,0
subj2_trial33,0,0
subj3_trial2,0,0
subj3_trial3,0,0
subj3_trial4,0,0
subj3_trial5,0,0
subj3_trial6,0,0
subj3_trial7,0,0
subj3_trial8,0,0
subj3_trial9,0,0
subj3_trial10,0,0
subj3_trial11,0,0
subj3_trial12,0,0
subj3_trial13,0,0
subj3_trial14,0,0
subj3_trial15,0,0
subj3_trial16,0,0
subj3_trial17,0,0
subj3_trial18,0,0
subj3_trial19,0,0
subj3_trial20,0,0
subj3_trial21,0,0
subj3_trial22,0,0
subj3_trial23,0,0
subj3_trial24,0,0
subj3_trial25,0,0
subj3_trial26,0,0
subj3_trial27,0,0
subj3_trial28,0,0
subj3_trial29,0,0
subj3_trial30,0,0
subj3_trial31,0,0
