Trial,NumCycles_Left,NumCycles_Right
subj1_trial1,7,8
subj1_trial2,8,8
subj1_trial3,8,8
subj1_trial4,8,8
subj1_trial5,8,8
subj1_trial6,8,8
subj1_trial7,8,8
subj1_trial8,8,8
subj1_trial9,8,8
subj1_trial10,8,8
subj1_trial11,8,8
subj1_trial12,8,8
subj1_trial13,8,8
subj1_trial14,8,8
subj1_trial15,8,8
subj1_trial16,8,8
subj1_trial17,8,8
subj1_trial18,8,8
subj1_trial19,0,0
subj1_trial20,8,8
subj1_trial21,8,8
subj1_trial22,8,8
subj1_trial23,8,8
subj1_trial24,8,8
subj1_trial25,8,8
subj1_trial26,8,8
subj1_trial27,8,8
subj1_trial28,8,8
subj1_trial29,8,8
subj1_trial30,8,8
subj1_trial31,8,8
subj1_trial32,8,8
subj1_trial33,8,8
subj2_trial1,8,8
subj2_trial2,8,8
subj2_trial3,8,8
subj2_trial4,8,8
subj2_trial5,8,8
subj2_trial6,8,8
subj2_trial7,8,8
subj2_trial8,8,8
subj2_trial9,8,8
subj2_trial10,8,8
subj2_trial11,8,8
subj2_trial12,8,8
subj2_trial13,8,8
subj2_trial14,8,8
subj2_trial15,8,8
subj2_trial16,8,8
subj2_trial17,8,8
subj2_trial18,8,8
subj2_trial19,0,8
subj2_trial20,8,8
subj2_trial21,8,8
subj2_trial22,8,8
subj2_trial23,8,8
subj2_trial24,8,8
subj2_trial25,8,8
subj2_trial26,8,8
subj2_trial27,8,8
subj2_trial28,8,8
subj2_trial29,8,8
subj2_trial30,8,8
subj2_trial31,8,8
subj2_trial32,8,8
subj2_trial33,8,8
subj3_trial2,8,8
subj3_trial3,8,8
subj3_trial4,8,8
subj3_trial5,8,8
subj3_trial6,8,8
subj3_trial7,8,8
subj3_trial8,8,8
subj3_trial9,8,8
subj3_trial10,8,8
subj3_trial11,8,8
subj3_trial12,8,8
subj3_trial13,8,8
subj3_trial14,8,8
subj3_trial15,8,8
subj3_trial16,8,8
subj3_trial17,8,8
subj3_trial18,8,8
subj3_trial19,0,0
subj3_trial20,8,8
subj3_trial21,8,8
subj3_trial22,8,8
subj3_trial23,8,8
subj3_trial24,8,8
subj3_trial25,8,8
subj3_trial26,8,8
subj3_trial27,8,8
subj3_trial28,8,8
subj3_trial29,8,8
subj3_trial30,8,8
subj3_trial31,8,8
subj3_trial32,8,8
subj3_trial33,8,8
subj4_trial1,8,8
subj4_trial2,8,8
subj4_trial3,8,8
subj4_trial4,8,8
subj4_trial5,8,8
subj4_trial6,8,8
subj4_trial7,8,8
subj4_trial8,8,8
subj4_trial9,8,8
subj4_trial10,8,8
subj4_trial11,8,8
subj4_trial12,8,8
subj4_trial13,6,8
subj4_trial14,8,8
subj4_trial15,8,8
subj4_trial16,8,8
subj4_trial17,8,8
subj4_trial18,8,8
subj4_trial19,0,0
subj4_trial20,8,8
subj4_trial21,8,8
subj4_trial22,8,8
subj4_trial23,8,8
subj4_trial24,8,8
subj4_trial25,8,8
subj4_trial26,8,8
subj4_trial27,8,8
subj4_trial28,8,8
subj4_trial29,8,8
subj4_trial30,8,8
subj4_trial31,8,8
subj4_trial32,8,8
subj4_trial33,8,8
subj5_trial1,8,8
subj5_trial2,8,8
subj5_trial3,8,8
subj5_trial4,8,8
subj5_trial5,8,8
subj5_trial6,8,8
subj5_trial7,8,8
subj5_trial8,8,8
subj5_trial9,8,8
subj5_trial10,8,8
subj5_trial11,8,8
subj5_trial12,8,8
subj5_trial13,8,8
subj5_trial14,8,8
subj5_trial15,8,8
subj5_trial16,8,8
subj5_trial17,8,8
subj5_trial18,8,8
subj5_trial19,0,0
subj5_trial20,8,8
subj5_trial21,8,8
subj5_trial22,8,8
subj5_trial23,8,8
subj5_trial24,8,8
subj5_trial25,8,8
subj5_trial26,8,8
subj5_trial27,8,8
subj5_trial28,8,8
subj5_trial29,8,8
subj5_trial30,8,8
subj5_trial31,8,8
subj5_trial32,8,8
subj5_trial33,8,8
subj6_trial1,8,8
subj6_trial2,8,8
subj6_trial3,8,8
subj6_trial4,8,8
subj6_trial5,8,8
subj6_trial6,8,8
subj6_trial7,8,8
subj6_trial8,8,8
subj6_trial9,8,8
subj6_trial10,8,8
subj6_trial11,8,8
subj6_trial12,8,8
subj6_trial13,8,8
subj6_trial15,8,8
subj6_trial16,8,8
subj6_trial17,8,8
subj6_trial18,8,8
subj6_trial19,0,0
subj6_trial20,8,8
subj6_trial21,8,8
subj6_trial22,8,8
subj6_trial23,8,8
subj6_trial24,8,8
subj6_trial26,8,8
subj6_trial27,8,8
subj6_trial28,8,8
subj6_trial29,8,8
subj6_trial30,8,8
subj6_trial31,8,8
subj6_trial32,8,8
subj6_trial33,8,8
subj7_trial1,8,7
subj7_trial2,8,8
subj7_trial3,8,8
subj7_trial4,8,8
subj7_trial5,8,8
subj7_trial6,8,8
subj7_trial7,8,8
subj7_trial8,8,8
subj7_trial9,8,8
subj7_trial10,8,8
subj7_trial11,8,8
subj7_trial12,8,8
subj7_trial13,8,8
subj7_trial14,8,8
subj7_trial15,8,8
subj7_trial16,8,8
subj7_trial18,8,8
subj7_trial19,2,0
subj7_trial20,8,8
subj7_trial21,8,8
subj7_trial22,8,8
subj7_trial23,8,8
subj7_trial24,8,8
subj7_trial25,8,8
subj7_trial26,8,8
subj7_trial27,8,8
subj7_trial28,8,8
subj7_trial29,8,8
subj7_trial30,8,8
subj7_trial31,8,8
subj7_trial32,8,8
subj7_trial33,8,8
subj8_trial1,8,8
subj8_trial2,8,8
subj8_trial3,8,8
subj8_trial4,8,8
subj8_trial5,8,8
subj8_trial6,8,8
subj8_trial7,8,8
subj8_trial8,8,8
subj8_trial9,8,8
subj8_trial10,8,8
subj8_trial11,8,8
subj8_trial12,8,8
subj8_trial13,8,8
subj8_trial14,8,8
subj8_trial15,8,8
subj8_trial16,8,8
subj8_trial17,8,8
subj8_trial18,8,8
subj8_trial19,0,2
subj8_trial20,8,8
subj8_trial21,8,8
subj8_trial22,8,8
subj8_trial23,8,8
subj8_trial24,8,8
subj8_trial25,8,8
subj8_trial26,8,8
subj8_trial27,8,8
subj8_trial28,8,8
subj8_trial29,8,8
subj8_trial30,8,8
subj8_trial31,8,8
subj8_trial32,8,8
subj8_trial33,8,8
subj9_trial1,8,8
subj9_trial2,8,8
subj9_trial3,8,8
subj9_trial4,8,8
subj9_trial5,8,8
subj9_trial6,8,8
subj9_trial7,8,8
subj9_trial8,8,8
subj9_trial9,8,8
subj9_trial10,8,8
subj9_trial11,8,8
subj9_trial12,8,8
subj9_trial13,8,8
subj9_trial14,8,8
subj9_trial15,8,8
subj9_trial16,8,8
subj9_trial17,8,8
subj9_trial18,8,8
subj9_trial19,0,0
subj9_trial20,8,8
subj9_trial21,8,8
subj9_trial22,8,8
subj9_trial23,8,8
subj9_trial24,8,8
subj9_trial25,8,8
subj9_trial26,8,8
subj9_trial27,8,8
subj9_trial28,8,8
subj9_trial29,8,8
subj9_trial30,8,8
subj9_trial31,8,8
subj9_trial32,8,8
subj9_trial33,8,8
subj10_trial1,8,8
subj10_trial2,8,8
subj10_trial3,8,8
subj10_trial4,8,8
subj10_trial5,8,8
subj10_trial6,8,8
subj10_trial7,8,8
subj10_trial8,8,8
subj10_trial9,8,8
subj10_trial10,8,8
subj10_trial11,8,8
subj10_trial12,8,8
subj10_trial13,8,8
subj10_trial15,8,8
subj10_trial16,8,8
subj10_trial17,8,8
subj10_trial18,8,8
subj10_trial19,0,0
subj10_trial21,8,8
subj10_trial22,8,8
