Trial,NumCycles_Left,NumCycles_Right
subj1_trial1,8,9
subj1_trial2,15,16
subj1_trial3,17,17
subj1_trial4,19,21
subj1_trial5,15,16
subj1_trial6,18,18
subj1_trial7,23,24
subj1_trial8,20,19
subj1_trial9,10,11
subj1_trial10,12,13
subj1_trial11,14,15
subj1_trial12,10,11
subj1_trial13,15,17
subj1_trial14,16,16
subj1_trial15,16,14
subj1_trial16,17,17
subj1_trial17,18,18
subj1_trial18,20,20
subj1_trial19,0,0
subj1_trial20,15,16
subj1_trial21,16,15
subj1_trial22,16,15
subj1_trial23,16,15
subj1_trial24,15,16
subj1_trial25,15,17
subj1_trial26,17,16
subj1_trial27,17,17
subj1_trial28,11,11
subj1_trial29,11,13
subj1_trial30,16,16
subj1_trial31,13,14
subj1_trial32,15,14
subj1_trial33,15,16
subj2_trial1,10,10
subj2_trial2,18,19
subj2_trial3,20,20
subj2_trial4,24,23
subj2_trial5,18,18
subj2_trial6,21,22
subj2_trial7,26,27
subj2_trial8,23,23
subj2_trial9,12,13
subj2_trial10,14,15
subj2_trial11,16,16
subj2_trial12,14,13
subj2_trial13,18,18
subj2_trial14,17,18
subj2_trial15,18,17
subj2_trial16,20,20
subj2_trial17,22,22
subj2_trial18,23,24
subj2_trial19,0,457
subj2_trial20,18,18
subj2_trial21,19,18
subj2_trial22,18,18
subj2_trial23,18,18
subj2_trial24,18,18
subj2_trial25,18,18
subj2_trial26,19,18
subj2_trial27,21,20
subj2_trial28,13,12
subj2_trial29,15,16
subj2_trial30,18,18
subj2_trial31,15,16
subj2_trial32,16,17
subj2_trial33,18,18
subj3_trial2,17,15
subj3_trial3,16,17
subj3_trial4,20,20
subj3_trial5,16,15
subj3_trial6,18,17
subj3_trial7,23,23
subj3_trial8,19,17
subj3_trial9,11,11
subj3_trial10,13,12
subj3_trial11,14,14
subj3_trial12,12,11
subj3_trial13,15,16
subj3_trial14,15,16
subj3_trial15,16,15
subj3_trial16,17,18
subj3_trial17,18,19
subj3_trial18,20,21
subj3_trial19,0,0
subj3_trial20,17,16
subj3_trial21,16,15
subj3_trial22,16,16
subj3_trial23,16,15
subj3_trial24,15,16
subj3_trial25,16,15
subj3_trial26,16,17
subj3_trial27,17,18
subj3_trial28,11,12
subj3_trial29,14,13
subj3_trial30,16,16
subj3_trial31,14,13
subj3_trial32,16,14
subj3_trial33,15,16
