Trial,Time_s,Predicted_LY_Moment
1,1,-0.475920766592026
1,1.01,-0.484322398900986
1,1.02,-0.490561574697495
1,1.03,-0.494657933712006
1,1.04,-0.497666835784912
1,1.05,-0.500259816646576
1,1.06,-0.502235591411591
1,1.07,-0.503308773040771
1,1.08,-0.50383460521698
1,1.09,-0.504055380821228
1,1.1,-0.50336742401123
1,1.11,-0.501378178596497
1,1.12,-0.498498231172562
1,1.13,-0.495360046625137
1,1.14,-0.492283910512924
1,1.15,-0.489489674568176
1,1.16,-0.487759977579117
1,1.17,-0.486230581998825
1,1.18,-0.481678575277328
1,1.19,-0.476188510656357
1,1.2,-0.471369802951813
1,1.21,-0.467678636312485
1,1.22,-0.465119451284409
1,1.23,-0.463710278272629
1,1.24,-0.463442295789719
1,1.25,-0.46425798535347
1,1.26,-0.466057300567627
1,1.27,-0.468668520450592
1,1.28,-0.471831679344177
1,1.29,-0.475287735462189
1,1.3,-0.47887247800827
1,1.31,-0.482478827238083
1,1.32,-0.485956758260727
1,1.33,-0.489091664552689
1,1.34,-0.491673082113266
1,1.35,-0.4935622215271
1,1.36,-0.494725346565247
1,1.37,-0.49522078037262
1,1.38,-0.495148181915283
1,1.39,-0.494607895612717
1,1.4,-0.493757218122482
1,1.41,-0.492925882339478
1,1.42,-0.492421686649323
1,1.43,-0.492113262414932
1,1.44,-0.491624772548676
1,1.45,-0.490809172391891
1,1.46,-0.489790767431259
1,1.47,-0.488759994506836
1,1.48,-0.487779051065445
1,1.49,-0.486717790365219
1,1.5,-0.485354095697403
1,1.51,-0.483499497175217
1,1.52,-0.481025010347366
1,1.53,-0.477832615375519
1,1.54,-0.473863273859024
1,1.55,-0.469046175479889
1,1.56,-0.463000953197479
1,1.57,-0.454831838607788
1,1.58,-0.443563491106033
1,1.59,-0.429069131612778
1,1.6,-0.413758516311646
1,1.61,-0.403956532478333
1,1.62,-0.441065907478333
1,1.63,-0.472353607416153
1,1.64,-0.462701946496964
1,1.65,-0.455128192901611
1,1.66,-0.450733810663223
1,1.67,-0.449352949857712
1,1.68,-0.450764834880829
1,1.69,-0.454179912805557
1,1.7,-0.434306621551514
1,1.71,-0.38765150308609
1,1.72,-0.371890664100647
1,1.73,-0.377329707145691
1,1.74,-0.391788274049759
1,1.75,-0.40567684173584
1,1.76,-0.419444173574448
1,1.77,-0.432620137929916
1,1.78,-0.444415956735611
1,1.79,-0.454389750957489
1,1.8,-0.462427198886871
1,1.81,-0.468850940465927
1,1.82,-0.474025458097458
1,1.83,-0.477617055177689
1,1.84,-0.478825807571411
1,1.85,-0.477270752191544
1,1.86,-0.473871201276779
1,1.87,-0.470595419406891
1,1.88,-0.468568712472916
1,1.89,-0.466921001672745
1,1.9,-0.463785916566849
1,1.91,-0.45833957195282
1,1.92,-0.454901903867722
1,1.93,-0.458163440227509
1,1.94,-0.470956742763519
1,1.95,-0.489634931087494
1,1.96,-0.504941046237946
1,1.97,-0.509722590446472
1,1.98,-0.502921342849731
1,1.99,-0.487389862537384
1,2,-0.467203050851822
1,2.01,-0.445571303367615
1,2.02,-0.424344003200531
1,2.03,-0.40387362241745
1,2.04,-0.383762717247009
1,2.05,-0.364077031612396
1,2.06,-0.345747590065002
1,2.07,-0.329882264137268
1,2.08,-0.31679892539978
1,2.09,-0.30541318655014
1,2.1,-0.29150852560997
1,2.11,-0.265686184167862
1,2.12,-0.224000915884972
1,2.13,-0.180258244276047
1,2.14,-0.14457094669342
1,2.15,-0.11773956567049
1,2.16,-0.0956563204526901
1,2.17,-0.073741152882576
1,2.18,-0.0513639822602272
1,2.19,-0.0309080444276333
1,2.2,-0.0143339270725846
1,2.21,-0.00285214302130044
1,2.22,0.00380668858997524
1,2.23,0.00665418338030577
1,2.24,0.00865214131772518
1,2.25,0.0105744516476989
1,2.26,0.0122949853539467
1,2.27,0.0132233947515488
1,2.28,0.0131786372512579
1,2.29,0.0132760927081108
1,2.3,0.0133261205628514
1,2.31,0.0133330542594194
1,2.32,0.0132108796387911
1,2.33,0.0127928368747234
1,2.34,0.0119413584470749
1,2.35,0.0106436163187027
1,2.36,0.00902237463742495
1,2.37,0.00730003789067268
1,2.38,0.00572736840695143
1,2.39,0.00449431966990232
1,2.4,0.00369061552919447
1,2.41,0.00326380180194974
1,2.42,0.00300437118858099
1,2.43,0.00267834099940956
1,2.44,0.00220600608736277
1,2.45,0.00174053583759815
1,2.46,0.00163552246522158
1,2.47,0.00228900462388992
1,2.48,0.00386794912628829
1,2.49,0.0060801631771028
1,2.5,0.00827376078814268
1,2.51,0.00985880754888058
1,2.52,0.01058395113796
1,2.53,0.0105187026783824
1,2.54,0.00999751966446638
1,2.55,0.00939049385488033
1,2.56,0.0089598661288619
1,2.57,0.0088525302708149
1,2.58,0.00892616715282202
1,2.59,0.00878658890724182
1,2.6,0.0083160912618041
1,2.61,0.00790917780250311
1,2.62,0.00794724468141794
1,2.63,0.0081726647913456
1,2.64,0.00794367399066687
1,2.65,0.00697269011288881
1,2.66,0.00550617836415768
